date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1990-08-30,541057,4935163,Other,1990,3,04,T,NA,25.4,5.91,NA,0.2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,541057,4935163,Other,1990,3,04,T,NA,25.4,5.55,NA,0.21,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,541057,4935163,Other,1990,3,04,T,NA,25.4,5.12,NA,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,541057,4935163,Other,1990,3,04,T,62,25.4,5.61,NA,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,543026,4934353,Main Chann. Bord.,1990,3,04,T,NA,25.4,3.72,NA,0.21,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,543026,4934353,Main Chann. Bord.,1990,3,04,T,NA,25.4,2.56,NA,0.06,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,637174,4856432,Main Chann. Bord.,1990,3,08,D,37,25,1.57,268,0.18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,637477,4855998,Main Chann. Bord.,1990,3,08,D,37,25,1.57,268,0.18,NA,NA,1,0,0,0,0,0,0,0,0,0,0
1990-08-30,640785,4846220,Other,1990,3,08,T,56,25.6,4.1,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,640846,4846569,Other,1990,3,08,T,56,25.6,4.4,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,640922,4846913,Other,1990,3,08,T,56,25.6,5.2,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,641041,4847278,Other,1990,3,08,T,56,25.6,4.9,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,641142,4847725,Main Chann. Bord.,1990,3,08,D,50,25.5,1.6,340,0.33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,641188,4847634,Other,1990,3,08,T,56,25.6,6.5,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-30,641188,4848044,Main Chann. Bord.,1990,3,08,D,50,25.5,1.6,340,0.33,NA,NA,1,0,0,0,0,0,0,0,0,0,0
1990-08-30,641307,4848053,Other,1990,3,08,T,56,25.6,6.5,NA,0.54,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,533804,4939013,Main Chann. Bord.,1990,3,04,H,53,25.4,4.25,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,533804,4939013,Main Chann. Bord.,1990,3,04,H,51,24.5,3.66,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,534644,4938303,Main Chann. Bord.,1990,3,04,H,45,24.5,1.16,NA,0.35,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,534644,4938303,Main Chann. Bord.,1990,3,04,H,51,24.6,2.68,NA,0.25,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,641142,4847725,Main Chann. Bord.,1990,3,08,T,59,24.8,3.7,NA,0.31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-31,641185,4848070,Main Chann. Bord.,1990,3,08,T,59,24.8,3.7,NA,0.31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,575734,4916133,Main Chann. Bord.,1990,3,04,T,NA,0,2.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,575734,4916133,Main Chann. Bord.,1990,3,04,T,NA,0,1.3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,2.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,1.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,2.7,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,2.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,2.3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,576069,4915998,Other,1990,3,04,T,NA,0,2.5,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,0,3.9,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,0,3.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,0,4.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,24.7,4.66,NA,0.26,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,24.7,4.97,NA,0.36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,580765,4913373,Other,1990,3,04,T,NA,24.7,5.82,NA,0.22,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-09-04,582015,4912788,Main Chann. Bord.,1990,3,04,T,NA,24.7,2.99,NA,0.42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
