occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
0,734358,4667801,13,1,36,26.1,0.7,393,0,7.2
1,734208,4668651,13,1,58,25.3,0.7,404,0,5
0,733508,4669651,13,3,NA,NA,NA,NA,NA,NA
1,734058,4668701,13,3,20,16.7,0.5,413,0,5.5
1,734508,4668401,13,3,52,7.8,0.6,459,0,12.4
1,734558,4668251,13,3,52,7.8,0.6,459,0,12.2
1,733258,4668651,13,1,28,24.8,0.9,471,0,7.5
1,733858,4668901,13,1,32,27.8,0.7,469,0,7.5
0,734858,4667701,13,1,44,27.2,1,424,0.03,5.9
1,734708,4668101,13,3,40,11.2,1,399,0,9.7
1,734158,4668551,13,3,57,13.1,0.8,415,0,7.4
1,734158,4668501,13,3,43,10.7,0.8,534,0,7.7
0,734458,4667801,13,1,110,27.7,1.1,499,0,5.8
1,734558,4668301,13,1,80,26.5,0.8,483,0,6.9
1,733908,4668751,13,1,46,25.1,1.1,491,0,7.5
0,733808,4669251,13,1,NA,NA,NA,NA,NA,NA
1,734758,4667901,13,1,42,26.1,1.1,438,0,5.7
1,734408,4668501,13,2,46,28.9,1,385,0,5
1,727008,4671001,13,3,44,23.6,0.7,462,0,8.6
1,727308,4670101,13,2,30,22.5,0.6,473,0,3.3
0,726858,4671251,13,1,NA,NA,NA,NA,NA,NA
1,727408,4670051,13,2,40,25.9,0.6,406,0,8.6
0,727158,4670251,13,3,NA,NA,NA,NA,NA,NA
1,727358,4670051,13,3,70,12.2,0.7,407,0,9.6
0,726958,4670501,13,1,NA,NA,NA,NA,NA,NA
1,727408,4670051,13,3,90,13.9,1,414,0,7.5
0,725758,4670251,13,1,NA,NA,NA,NA,NA,NA
1,727658,4670051,13,1,83,26.5,1,437,0,7.7
1,727508,4670051,13,1,60,26.4,10,384,0,7.2
1,727908,4670401,13,2,46,19.9,0.9,413,0,9.9
0,726108,4670901,13,1,68,24.2,0.7,411,0,0.1
1,728058,4670051,13,1,59,25,0.8,371,0,4.4
1,727308,4670801,13,2,72,26.6,0.8,372,0,7.7
0,725758,4670251,13,1,NA,NA,NA,NA,NA,NA
1,726958,4670151,13,2,38,24.6,0.6,412,0,5.5
0,726108,4670951,13,3,NA,NA,NA,NA,NA,NA
0,727708,4670551,13,1,NA,NA,NA,NA,NA,NA
0,726908,4670551,13,3,NA,NA,NA,NA,NA,NA
0,727758,4670401,13,3,NA,NA,NA,NA,NA,NA
0,726458,4670851,13,3,NA,NA,NA,NA,NA,NA
1,727608,4670051,13,3,41,15.7,0.9,451,0,9
0,727158,4670201,13,3,NA,NA,NA,NA,NA,NA
1,727358,4670051,13,2,72,24.6,1.1,393,0,7.1
0,726658,4670751,13,1,NA,NA,NA,NA,NA,NA
1,726508,4670051,13,1,70,27,0.7,339,0,9.4
0,726408,4669801,13,2,NA,NA,NA,NA,NA,NA
